date,TICKER,PRC,RET,SHROUT,MV_USD,MV_USD_lag
2020-11-30,AXSM,72.49,0.093199,37344.0,2707066.56,2476280.64
2020-12-31,AXSM,81.47,0.123879,37374.0,3044859.78,2707066.56
2021-01-29,AXSM,68.09,-0.164232,37374.0,2544795.66,3044859.78
2021-02-26,AXSM,67.36,-0.010721,37405.0,2519600.8,2544795.66
2021-03-31,AXSM,56.62,-0.159442,37564.0,2126873.68,2519600.8
2021-04-30,AXSM,60.46,0.067821,37564.0,2271119.44,2126873.68
2021-05-28,AXSM,60.71,0.004135,37570.0,2280874.7,2271119.44
2021-06-30,AXSM,67.46,0.111184,37649.0,2539801.54,2280874.7
2021-07-30,AXSM,48.59,-0.279721,37649.0,1829364.91,2539801.54
2021-08-31,AXSM,25.68,-0.471496,37682.0,967673.76,1829364.91
2021-09-30,AXSM,32.96,0.283489,37688.0,1242196.48,967673.76
2021-10-29,AXSM,38.5,0.168083,37688.0,1450988.0,1242196.48
2021-11-30,AXSM,34.54,-0.102857,37692.0,1301881.68,1450988.0
2021-12-31,AXSM,37.78,0.093804,37817.0,1428726.26,1301881.68
2020-01-31,ATOM,4.16,0.350649,17117.0,71206.72,52720.36
2020-02-28,ATOM,4.39,0.055288,17117.0,75143.62999999999,71206.72
2020-03-31,ATOM,3.5,-0.202733,17726.0,62041.0,75143.62999999999
2020-04-30,ATOM,5.32,0.52,17726.0,94302.32,62041.0
2020-05-29,ATOM,8.68,0.631579,19749.0,171421.32,94302.32
2020-06-30,ATOM,9.0,0.036866,19826.0,178434.0,171421.32
2020-07-31,ATOM,10.64,0.182222,19826.0,210948.64,178434.0
2020-08-31,ATOM,12.71,0.194549,19826.0,251988.46,210948.64
2020-09-30,ATOM,10.45,-0.177813,20971.0,219146.95,251988.46
2020-10-30,ATOM,8.15,-0.220096,21455.0,174858.25,219146.95
2020-11-30,ATOM,9.38,0.15092,21455.0,201247.9,174858.25
2020-12-31,ATOM,16.09,0.715352,22375.0,360013.75,201247.9
2021-01-29,ATOM,28.72,0.78496,22375.0,642610.0,360013.75
2021-02-26,ATOM,27.98,-0.025766,22623.0,632991.54,642610.0
2021-03-31,ATOM,24.5,-0.124375,23027.0,564161.5,632991.54
2021-04-30,ATOM,16.64,-0.320816,23027.0,383169.28,564161.5
2021-05-28,ATOM,17.55,0.054687,23037.0,404299.35,383169.28
2021-06-30,ATOM,21.44,0.221653,23104.0,495349.76,404299.35
2021-07-30,ATOM,17.65,-0.176772,23096.0,407644.4,495349.76
2021-08-31,ATOM,24.67,0.397734,23096.0,569778.3200000001,407644.4
2021-09-30,ATOM,23.09,-0.064045,23145.0,534418.05,569778.3200000001
2021-10-29,ATOM,21.61,-0.064097,23158.0,500444.38,534418.05
2021-11-30,ATOM,24.09,0.114762,23158.0,557876.22,500444.38
2021-12-31,ATOM,20.12,-0.164799,23207.0,466924.84,557876.22
